"week","requirement_cluster","review_dataset","count"
"2021-08",167,"foodpanda",8
"2021-08",167,"ubereats",10
"2021-08",167,"zomato",9
"2021-08",168,"foodpanda",422
"2021-08",168,"ubereats",1604
"2021-08",168,"zomato",746
"2021-08",169,"foodpanda",41
"2021-08",169,"ubereats",98
"2021-08",169,"zomato",21
"2021-08",170,"ubereats",5
"2021-08",171,"foodpanda",5
"2021-08",171,"ubereats",13
"2021-08",171,"zomato",27
"2021-08",172,"foodpanda",1
"2021-08",172,"ubereats",2
"2021-08",173,"foodpanda",16
"2021-08",173,"ubereats",136
"2021-08",173,"zomato",26
"2021-08",174,"foodpanda",148
"2021-08",174,"ubereats",513
"2021-08",174,"zomato",195
"2021-08",175,"foodpanda",8
"2021-08",175,"ubereats",32
"2021-08",175,"zomato",16
"2021-08",176,"foodpanda",51
"2021-08",176,"ubereats",66
"2021-08",176,"zomato",36
"2021-08",177,"foodpanda",629
"2021-08",177,"ubereats",1743
"2021-08",177,"zomato",1556
"2021-08",178,"foodpanda",66
"2021-08",178,"ubereats",65
"2021-08",178,"zomato",74
"2021-08",179,"foodpanda",87
"2021-08",179,"ubereats",488
"2021-08",179,"zomato",135
"2021-08",180,"foodpanda",54
"2021-08",180,"ubereats",45
"2021-08",180,"zomato",23
"2021-08",181,"foodpanda",351
"2021-08",182,"foodpanda",10
"2021-08",182,"ubereats",16
"2021-08",182,"zomato",64
"2021-08",183,"foodpanda",79
"2021-08",183,"ubereats",207
"2021-08",183,"zomato",118
"2021-08",184,"foodpanda",3
"2021-08",185,"foodpanda",107
"2021-08",185,"ubereats",294
"2021-08",185,"zomato",158
"2021-08",186,"foodpanda",145
"2021-08",186,"ubereats",314
"2021-08",186,"zomato",308
"2021-08",187,"foodpanda",36
"2021-08",187,"ubereats",323
"2021-08",187,"zomato",54
"2021-08",188,"foodpanda",8
"2021-08",188,"ubereats",36
"2021-08",188,"zomato",1
"2021-08",189,"foodpanda",3
"2021-08",189,"ubereats",5
"2021-08",190,"foodpanda",224
"2021-08",190,"ubereats",186
"2021-08",190,"zomato",81
"2021-08",191,"foodpanda",520
"2021-08",191,"ubereats",1547
"2021-08",191,"zomato",794
"2021-08",192,"foodpanda",96
"2021-08",192,"ubereats",305
"2021-08",192,"zomato",86
"2021-08",193,"foodpanda",121
"2021-08",193,"ubereats",326
"2021-08",193,"zomato",405
"2021-08",194,"foodpanda",11
"2021-08",194,"ubereats",43
"2021-08",194,"zomato",42
"2021-08",195,"foodpanda",60
"2021-08",195,"ubereats",212
"2021-08",195,"zomato",98
"2021-08",197,"foodpanda",38
"2021-08",197,"ubereats",112
"2021-08",197,"zomato",38
"2021-08",198,"foodpanda",543
"2021-08",198,"ubereats",1423
"2021-08",198,"zomato",885
"2021-08",199,"ubereats",11
"2021-08",199,"zomato",25
"2021-08",200,"foodpanda",1
"2021-08",200,"ubereats",4
"2021-08",201,"foodpanda",6
"2021-08",201,"ubereats",12
"2021-08",201,"zomato",54
"2021-08",202,"foodpanda",22
"2021-08",202,"ubereats",48
"2021-08",202,"zomato",75
"2021-08",203,"foodpanda",1147
"2021-08",203,"ubereats",3925
"2021-08",203,"zomato",1988
"2021-08",204,"foodpanda",26
"2021-08",204,"zomato",106
"2021-08",205,"foodpanda",70
"2021-08",205,"ubereats",109
"2021-08",205,"zomato",55
"2021-08",206,"foodpanda",34
"2021-08",206,"ubereats",141
"2021-08",206,"zomato",46
"2021-08",207,"foodpanda",12
"2021-08",207,"ubereats",110
"2021-08",207,"zomato",24
"2021-08",208,"foodpanda",4
"2021-08",208,"ubereats",12
"2021-08",208,"zomato",17
"2021-08",209,"foodpanda",44
"2021-08",209,"ubereats",212
"2021-08",209,"zomato",134
"2021-08",210,"foodpanda",35
"2021-08",210,"ubereats",97
"2021-08",210,"zomato",104
"2021-08",211,"foodpanda",248
"2021-08",211,"ubereats",759
"2021-08",211,"zomato",478
"2021-08",212,"ubereats",10
"2021-08",213,"foodpanda",33
"2021-08",213,"ubereats",115
"2021-08",213,"zomato",23
"2021-08",214,"ubereats",4
"2021-08",214,"zomato",3
"2021-08",215,"foodpanda",10
"2021-08",215,"ubereats",153
"2021-08",215,"zomato",31
"2021-08",216,"foodpanda",28
"2021-08",216,"ubereats",46
"2021-08",216,"zomato",30
"2021-08",217,"foodpanda",11
"2021-08",217,"ubereats",21
"2021-08",217,"zomato",6
"2021-08",218,"foodpanda",4
"2021-08",218,"ubereats",3
"2021-08",218,"zomato",1
"2021-08",219,"foodpanda",62
"2021-08",219,"ubereats",66
"2021-08",219,"zomato",27
"2021-08",220,"foodpanda",5
"2021-08",220,"ubereats",23
"2021-08",220,"zomato",6
"2021-08",221,"foodpanda",25
"2021-08",221,"ubereats",195
"2021-08",221,"zomato",45
"2021-08",222,"foodpanda",343
"2021-08",222,"ubereats",896
"2021-08",222,"zomato",395
"2021-08",223,"foodpanda",28
"2021-08",223,"ubereats",107
"2021-08",223,"zomato",47
"2021-08",224,"foodpanda",21
"2021-08",224,"ubereats",35
"2021-08",224,"zomato",6
"2021-08",225,"foodpanda",81
"2021-08",225,"ubereats",211
"2021-08",225,"zomato",71
"2021-08",226,"foodpanda",536
"2021-08",226,"ubereats",1454
"2021-08",226,"zomato",722
"2021-08",227,"foodpanda",81
"2021-08",227,"ubereats",167
"2021-08",227,"zomato",60
"2021-08",228,"foodpanda",29
"2021-08",228,"ubereats",142
"2021-08",228,"zomato",103
"2021-08",229,"foodpanda",36
"2021-08",229,"zomato",13
